,score,pval
ult,7.952941,0.00480093
xx,7.932015,0.00485677
orton,7.930005,0.00486217
baj,7.929145,0.00486448
clothes,7.911077,0.0049133
fibromyalga,7.892669,0.00496356
gerbil,7.852422,0.00507527
creeps,7.832206,0.00513234
union,7.755849,0.00535389
russian,7.740988,0.00539813
tbh,7.740779,0.00539875
generikb,7.707508,0.00549916
exfoliating,7.700179,0.00552154
aerotank,7.679384,0.00558552
strangers,7.677173,0.00559237
uhcs,7.676105,0.00559568
whatever,7.669341,0.0056167
worried,7.636327,0.00572043
snail,7.622787,0.00576353
outfarm,7.613074,0.00579466
appt,7.585186,0.00588499
sr,7.58056,0.00590011
dispenser,7.580175,0.00590137
gossiping,7.549765,0.00600179
nonmonogamy,7.519101,0.00610481
hug,7.484915,0.0062218
contractions,7.484831,0.00622209
bestfriend,7.464539,0.00629261
crutches,7.459239,0.00631117
cried,7.431914,0.00640771
vechs,7.427546,0.00642329
thankfully,7.364563,0.00665218
colorstay,7.356618,0.00668164
ssy,7.347125,0.00671701
crush,7.316734,0.00683155
progesterone,7.305552,0.00687419
pronouns,7.291446,0.00692837
adrafinil,7.289508,0.00693585
pantyhose,7.277047,0.00698412
confide,7.275124,0.00699161
comfort,7.248767,0.00709497
cafã,7.198501,0.00729645
borla,7.178293,0.00737909
keys,7.177423,0.00738267
or,7.174912,0.00739301
elses,7.174775,0.00739357
ovulating,7.173696,0.00739802
islamic,7.130823,0.00757699
somnophilia,7.123505,0.00760798
legia,7.113854,0.00764905
ideation,7.101629,0.00770139
little,7.051156,0.00792141
though,7.042375,0.00796034
dagon,7.029849,0.00801621
obsessions,7.020522,0.00805807
lingerie,6.998807,0.00815641
biotic,6.992757,0.00818402
nations,6.952673,0.00836941
dysautonomia,6.931668,0.00846827
met,6.924998,0.00849991
paulas,6.916127,0.00854218
ecr,6.915122,0.00854698
gpm,6.908254,0.00857987
ultrasounds,6.90075,0.00861596
pierced,6.900661,0.00861639
esteem,6.895082,0.00864332
lunch,6.826835,0.00897982
thinking,6.809649,0.00906666
xbl,6.807069,0.00907977
tramadol,6.788969,0.00917229
seeing,6.773305,0.00925313
scrupulosity,6.771062,0.00926477
viper,6.744757,0.00940236
lorazepam,6.691268,0.00968863
currently,6.683181,0.00973268
autofiring,6.653929,0.00989374
squealer,6.622974,0.01006716
shinsekai,6.620335,0.01008209
percent,6.600053,0.01019757
htp,6.573354,0.01035167
ursa,6.570904,0.01036593
mate,6.536634,0.01056751
lutheran,6.535776,0.01057261
gorgeous,6.524647,0.01063897
eyeshadow,6.524248,0.01064135
showering,6.501191,0.01078023
csgo,6.48765,0.01086265
transmasculine,6.471685,0.01096066
rom,6.461548,0.01102336
mine,6.450203,0.01109397
scared,6.44648,0.01111724
smile,6.44084,0.01115259
fevers,6.435773,0.01118445
attractiveness,6.397803,0.01142617
roshan,6.388921,0.01148348
legs,6.378443,0.01155147
apnoea,6.373325,0.01158483
take,6.306763,0.01202783
while,6.302901,0.01205406
vaping,6.294699,0.01210996
pavs,6.288644,0.0121514
contour,6.284566,0.01217939
fiance,6.262965,0.01232877
ataks,6.245972,0.0124476
night,6.243042,0.01246821
kat,6.234466,0.01252873
until,6.209452,0.012707
bloodstone,6.192161,0.01283174
taking,6.181068,0.01291243
wrestler,6.173275,0.01296943
afab,6.172288,0.01297667
infj,6.164006,0.01303756
do,6.151129,0.01313282
trans,6.115158,0.01340275
derm,6.093539,0.01356771
jeannie,6.079011,0.01367974
termi,6.061115,0.01381904
glasslands,6.056357,0.01385633
rough,6.055853,0.01386028
can,6.05109,0.01389771
cirrhosis,6.048751,0.01391614
bras,6.042437,0.01396599
introverted,6.034429,0.01402949
geomancer,6.028138,0.01407958
trish,6.010319,0.01422246
socially,6.001977,0.01428986
care,5.985107,0.01442717
birthday,5.977611,0.01448862
ivar,5.967583,0.01457124
agender,5.95842,0.01464716
ganking,5.922854,0.01494573
psychotherapist,5.912778,0.01503145
fwb,5.911258,0.01504442
konjac,5.910971,0.01504688
doing,5.88291,0.01528853
wish,5.871369,0.01538908
grope,5.866948,0.01542778
now,5.863401,0.01545889
laning,5.856883,0.01551625
ldr,5.841122,0.01565584
hotd,5.827043,0.01578163
entendu,5.790034,0.01611728
batrider,5.77773,0.01623049
transmen,5.771111,0.01629173
rut,5.755175,0.01644016
masturbate,5.722917,0.01674489
face,5.681387,0.0171458
cleavage,5.676541,0.01719323
restrict,5.665009,0.01730663
understand,5.650938,0.01744603
randomed,5.650864,0.01744677
infjs,5.632974,0.0176257
pansexual,5.625778,0.01769821
clinique,5.605226,0.01790698
nether,5.595824,0.01800334
friendzone,5.58922,0.01807134
youre,5.560404,0.01837117
tarantulas,5.556156,0.01841581
sny,5.555706,0.01842055
study,5.482695,0.01920562
coils,5.467892,0.01936898
